#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   1.6799999      0.35879639      0.39650899      0.12858623      0.96746314      0.50466299      0.30231482      -1.8111076     -0.31140140    
   1.6899999      0.35727569      0.39466566      0.12730679      0.96765512      0.50317544      0.29960957      -1.8055671     -0.30793732    
   1.6999999      0.35576651      0.39292246      0.12604007      0.96781546      0.50164795      0.29692647      -1.8000270     -0.30447325    
   1.7099999      0.35427302      0.39115626      0.12478594      0.96800381      0.50018680      0.29429933      -1.7945468     -0.30114424    
   1.7199999      0.35279065      0.38940510      0.12354431      0.96816093      0.49868688      0.29169396      -1.7890677     -0.29781526    
   1.7300000      0.35132352      0.38767260      0.12231500      0.96834505      0.49725130      0.28915548      -1.7836473     -0.29462758    
   1.7400000      0.34986717      0.38587305      0.12109796      0.96849877      0.49577805      0.28661087      -1.7782274     -0.29143992    
   1.7500000      0.34842560      0.38417372      0.11989301      0.96867847      0.49436733      0.28415114      -1.7728653     -0.28837568    
   1.7600000      0.34699455      0.38248861      0.11870005      0.96882838      0.49292001      0.28168496      -1.7675037     -0.28531143    
   1.7700000      0.34557778      0.38082093      0.11751898      0.96900332      0.49153340      0.27928740      -1.7621988     -0.28237039    
   1.7800000      0.34417120      0.37912720      0.11634964      0.96914923      0.49011123      0.27689677      -1.7568940     -0.27942935    
   1.7900000      0.34277850      0.37749040      0.11519194      0.96931916      0.48874807      0.27457228      -1.7516450     -0.27659231    
   1.8000000      0.34139568      0.37582773      0.11404576      0.96946061      0.48735031      0.27224091      -1.7463958     -0.27375528    
   1.8099999      0.34002641      0.37418199      0.11291099      0.96962529      0.48600993      0.26998013      -1.7412021     -0.27102974    
   1.8199999      0.33866665      0.37254962      0.11178751      0.96976203      0.48463592      0.26771227      -1.7360077     -0.26830420    
   1.8299999      0.33732006      0.37097207      0.11067521      0.96992129      0.48331764      0.26551273      -1.7308671     -0.26567474    
   1.8399999      0.33598277      0.36940697      0.10957397      0.97005314      0.48196670      0.26331267      -1.7257261     -0.26304534    
   1.8499999      0.33465827      0.36781949      0.10848369      0.97020662      0.48067001      0.26117876      -1.7206384     -0.26051420    
   1.8600000      0.33334276      0.36624449      0.10740425      0.97033334      0.47934148      0.25903079      -1.7155501     -0.25798303    
   1.8700000      0.33203965      0.36468503      0.10633557      0.97048110      0.47806573      0.25694695      -1.7105136     -0.25554326    
   1.8800000      0.33074537      0.36310062      0.10527751      0.97060251      0.47675899      0.25486219      -1.7054772     -0.25310346    
   1.8900000      0.32946312      0.36160555      0.10422998      0.97074431      0.47550362      0.25283962      -1.7004912     -0.25074652    
   1.9000000      0.32818949      0.36008519      0.10319287      0.97086030      0.47421810      0.25081590      -1.6955056     -0.24838960    
   1.9100000      0.32692751      0.35857940      0.10216609      0.97099596      0.47298259      0.24884591      -1.6905689     -0.24611129    
   1.9200000      0.32567391      0.35708514      0.10114951      0.97110629      0.47171766      0.24686804      -1.6856328     -0.24383296    
   1.9299999      0.32443172      0.35560507      0.10014306      0.97123563      0.47050148      0.24493569      -1.6807455     -0.24163589    
   1.9399999      0.32319760      0.35413611      0.99146619E-01  0.97134018      0.46925670      0.24302147      -1.6758583     -0.23943886    
   1.9499999      0.32197461      0.35268101      0.98160103E-01  0.97146314      0.46805933      0.24114457      -1.6710186     -0.23730266    
   1.9599999      0.32075953      0.35123670      0.97183391E-01  0.97156179      0.46683407      0.23927903      -1.6661785     -0.23516646    
   1.9699999      0.31955525      0.34980589      0.96216403E-01  0.97167844      0.46565503      0.23745573      -1.6613857     -0.23310858    
   1.9799999      0.31835866      0.34838554      0.95259041E-01  0.97177106      0.46444884      0.23562425      -1.6565936     -0.23105070    
   1.9900000      0.31717259      0.34697825      0.94311185E-01  0.97188121      0.46328765      0.23384000      -1.6518465     -0.22906075    
